Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
134;51,3987314083928;16,9343505982842;13,4;91
135;51,3983083910383;16,9330785640788;13,5;79
136;51,3978853599144;16,9318065534011;13,6;81
137;51,3974623150217;16,9305345662512;13,7;97
138;51,3970392563605;16,9292626026289;13,8;91
139;51,3966161839313;16,9279906625344;13,9;86
140;51,3961930977346;16,9267187459675;14;87
141;51,3957699977709;16,9254468529282;14,1;96
142;51,3953468840406;16,9241749834166;14,2;96
143;51,3949237565442;16,9229031374325;14,3;101
144;51,3945006152821;16,921631314976;14,4;98
145;51,3940774602548;16,9203595160471;14,5;110
146;51,3936542914628;16,9190877406456;14,6;108
147;51,3932311089065;16,9178159887716;14,7;101
148;51,3928079125864;16,9165442604251;14,8;105
149;51,3923847025029;16,915272555606;14,9;108
150;51,3919614786566;16,9140008743143;15;100
151;51,3915382410479;16,9127292165499;15,1;103
152;51,3911149896772;16,911457582313;15,2;102
153;51,390691724545;16,9101859716033;15,3;92
154;51,3902684456518;16,9089143844209;15,4;106
155;51,389845152998;16,9076428207658;15,5;91
156;51,3894218465841;16,9063712806379;15,6;106
157;51,3889985264106;16,9050997640373;15,7;109
158;51,388575192478;16,9038282709638;15,8;109
159;51,3881518447865;16,9025568014175;15,9;110
160;51,3877284833369;16,9012853553983;16;102
161;51,3873051081295;16,9000139329062;16,1;102
162;51,3868817191647;16,8987425339412;16,2;109
163;51,3864583164431;16,8974711585032;16,3;96
164;51,3860348999651;16,8961998065923;16,4;106
165;51,3856114697311;16,8949284782083;16,5;108
166;51,3851880257417;16,8936571733514;16,6;109
167;51,3847645679973;16,8923858920213;16,7;113
168;51,3843410964983;16,8911146342182;16,8;111
169;51,3839176112452;16,8898433999419;16,9;107
170;51,3834941122386;16,8885721891925;17;113
171;51,3830705994787;16,8873010019699;17,1;110
172;51,3826470729662;16,8860298382742;17,2;87
173;51,3822235327015;16,8847586981052;17,3;86
174;51,381799978685;16,8834875814629;17,4;93
175;51,3813764109171;16,8822164883473;17,5;90
176;51,3809528293985;16,8809454187585;17,6;100
177;51,3805292341294;16,8796743726963;17,7;105
178;51,3801056251105;16,8784033501607;17,8;100
179;51,3796820023421;16,8771323511517;17,9;104
180;51,3792583658247;16,8758613756693;18;109
181;51,3788347155588;16,8745904237134;18,1;103
182;51,3784110515448;16,8733194952841;18,2;109
183;51,3779873737832;16,8720485903812;18,3;115
184;51,3775636822745;16,8707777090048;18,4;109
185;51,3771399770191;16,8695068511548;18,5;109
186;51,3767162580174;16,8682360168312;18,6;110
187;51,3762925252701;16,866965206034;18,7;106
188;51,3758687787775;16,8656944187631;18,8;113
189;51,37544501854;16,8644236550185;18,9;109
190;51,3750212445582;16,8631529148002;19;110
191;51,3745974568325;16,8618821981082;19,1;109
192;51,3741736553633;16,8606115049424;19,2;106
193;51,3737498401512;16,8593408353028;19,3;105
194;51,3733260111966;16,8580701891893;19,4;119
195;51,3729021684999;16,856799566602;19,5;109
196;51,3724783120616;16,8555289675408;19,6;112
197;51,3720544418822;16,8542583920056;19,7;119
198;51,3716305579622;16,8529878399965;19,8;106
199;51,371206660302;16,8517173115134;19,9;110
200;51,370782748902;16,8504468065563;20;111
201;51,3703588237628;16,8491763251252;20,1;106
202;51,3699348848848;16,8479058672199;20,2;114
203;51,3695109322684;16,8466354328406;20,3;113
204;51,3690869659141;16,8453650219872;20,4;119
205;51,3686629858225;16,8440946346595;20,5;127
206;51,3682389919938;16,8428242708577;20,6;120
207;51,3678149844288;16,8415539305816;20,7;119
208;51,3673909631276;16,8402836138313;20,8;129
209;51,3669669280909;16,8390133206067;20,9;131
210;51,3665428793191;16,8377430509078;21;126
211;51,3661188168127;16,8364728047345;21,1;128
212;51,365694740572;16,8352025820869;21,2;132
213;51,3652706505977;16,8339323829648;21,3;131
214;51,3648465468901;16,8326622073683;21,4;127
215;51,3644224294497;16,8313920552974;21,5;130
216;51,363998298277;16,8301219267519;21,6;142
217;51,3635741533725;16,8288518217319;21,7;137
218;51,3631499947365;16,8275817402373;21,8;142
219;51,3627258223696;16,8263116822681;21,9;138
220;51,3623016362722;16,8250416478243;22;133
221;51,3618774364448;16,8237716369058;22,1;133
222;51,3614532228879;16,8225016495127;22,2;134
223;51,3610289956018;16,8212316856448;22,3;135
224;51,3606047545872;16,8199617453022;22,4;135
225;51,3601804998444;16,8186918284847;22,5;139
226;51,3597562313739;16,8174219351925;22,6;141
227;51,3593319491761;16,8161520654254;22,7;148
228;51,3589076532516;16,8148822191834;22,8;150
229;51,3584833436008;16,8136123964665;22,9;153
230;51,3580590202241;16,8123425972747;23;145
231;51,3576346831221;16,8110728216079;23,1;143
232;51,3572103322951;16,8098030694661;23,2;149
233;51,3567859677437;16,8085333408492;23,3;138
234;51,3563615894682;16,8072636357573;23,4;137
235;51,3559371974693;16,8059939541902;23,5;136
236;51,3555127917472;16,804724296148;23,6;140
237;51,3550883723026;16,8034546616307;23,7;148
238;51,3546639391358;16,8021850506381;23,8;152
239;51,3542394922473;16,8009154631703;23,9;145
240;51,3538150316376;16,7996458992272;24;157
241;51,3533905573072;16,7983763588089;24,1;143
